"cp_name";"cp_cpos";"cp_scpo";"id";"id_cas";"sql"
"ESTACIÓN YERUA";3201;4;"3201-4";"";"INSERT INTO tbl_localidades VALUES ('3201-4', 'ESTACIÓN YERUA(3201-4)', NOW(), NOW(), '1', '1', 'Localidad ESTACIÓN YERUA(3201-4)', 0, '1', 'ESTACIÓN YERUA', 3201, 4, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"ESTANCIA GRANDE";3201;5;"3201-5";"3201-3";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3201-3' WHERE loc_cpos = 3201 AND loc_scpo = 5;"
"BENITO LEGEREN";3203;3;"3203-3";"3201-4";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3201-4' WHERE loc_cpos = 3203 AND loc_scpo = 3;"
"COLONIA AYUI";3204;0;"3204-0";"3204-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3204-0' WHERE loc_cpos = 3204 AND loc_scpo = 0;"
"FEDERACIÓN";3206;0;"3206-0";"3206-0*";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3206-0' WHERE loc_cpos = 3206 AND loc_scpo = 0;"
"COLONIA LA ARGENTINA";3206;1;"3206-1";"";"INSERT INTO tbl_localidades VALUES ('3206-1', 'COLONIA LA ARGENTINA(3206-1)', NOW(), NOW(), '1', '1', 'Localidad COLONIA LA ARGENTINA(3206-1)', 0, '1', 'COLONIA LA ARGENTINA', 3206, 1, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"SANTA ANA";3208;0;"3208-0";"3208-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3208-0' WHERE loc_cpos = 3208 AND loc_scpo = 0;"
"LOS CHARRUAS";3212;0;"3212-0";"3212-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3212-0' WHERE loc_cpos = 3212 AND loc_scpo = 0;"
"NUEVA VIZCAYA";3212;1;"3212-1";"3212-1";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3212-1' WHERE loc_cpos = 3212 AND loc_scpo = 1;"
"LA CRIOLLA";3212;2;"3212-2";"3212-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3212-0' WHERE loc_cpos = 3212 AND loc_scpo = 2;"
"OSVALDO MAGNASCO";3212;3;"3212-3";"3212-2*";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3212-2' WHERE loc_cpos = 3212 AND loc_scpo = 3;"
"ESTACIÓN YUQUERI ";3214;0;"3214-0";"";"INSERT INTO tbl_localidades VALUES ('3214-0', 'ESTACIÓN YUQUERI (3214-0)', NOW(), NOW(), '1', '1', 'Localidad ESTACIÓN YUQUERI (3214-0)', 0, '1', 'ESTACIÓN YUQUERI ', 3214, 0, 'E', '1', 'N', 'E000', 0, 0, 'E00', 0, 'Poblacion', 0, NULL);"
"GENERAL CAMPOS";3216;0;"3216-0";"3216-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3216-0' WHERE loc_cpos = 3216 AND loc_scpo = 0;"
"SAN SALVADOR";3218;0;"3218-0";"3218-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3218-0' WHERE loc_cpos = 3218 AND loc_scpo = 0;"
"CHAJARI";3228;0;"3228-0";"3228-0";"UPDATE tbl_cp_diferentes SET tbl_localidades_id_c = '3228-0' WHERE loc_cpos = 3228 AND loc_scpo = 0;"
