loc_cpos;loc_scpo;name;id;name_sin_cp;tbl_id_fk;match_categoria;observacion;tbl_name
3216;0;GENERAL CAMPOS (3216-0);3216-0;GENERAL CAMPOS;3216-0;SINONIMO_SIMILITUD;Similitud: 0.83;GRAL.CAMPOS (3216-0)
3218;0;SAN SALVADOR (3218-0);3218-0;SAN SALVADOR;3218-0;MATCH_EXACTO;Nombre idéntico;SAN SALVADOR (3218-0)
3228;0;CHAJARI (3228-0);3228-0;CHAJARI;3228-0;MATCH_EXACTO;Nombre idéntico;CHAJARI (3228-0)
3228;1;COLONIA ALEMANA (3228-1);3228-1;COLONIA ALEMANA;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.18 con CHAJARI);
3228;2;LA FLORIDA (COLONIA OFICIAL Nº1) (3228-2);3228-2;LA FLORIDA;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.35 con CHAJARI);
3228;3;COLONIA CELINA (3228-3);3228-3;COLONIA CELINA;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.19 con CHAJARI);
3229;0;COLONIA PEÑA (3229-0);3229-0;COLONIA PEÑA;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.34 con VILLA DEL ROSARIO);
3229;1;SAN PEDRO (COLONIA FREITAS) (3229-1);3229-1;SAN PEDRO;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.31 con VILLA DEL ROSARIO);
3229;2;SAN RAMÓN (3229-2);3229-2;SAN RAMÓN;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.31 con VILLA DEL ROSARIO);
3229;3;VILLA DEL ROSARIO (3229-3);3229-3;VILLA DEL ROSARIO;3229-0;MATCH_EXACTO;Nombre idéntico;VILLA DEL ROSARIO (3229-0)
3240;0;VILLAGUAY (3240-0);3240-0;VILLAGUAY;3240-0;MATCH_EXACTO;Nombre idéntico;VILLAGUAY (3240-0)
3240;1;ESTACION LAS MOSCAS (3240-1);3240-1;ESTACION LAS MOSCAS;3240-1;MATCH_EXACTO;Nombre idéntico;ESTACION LAS MOSCAS (3240-1)
3241;0;PASO DE LA LAGUNA (3241-0);3241-0;PASO DE LA LAGUNA;;SIN_MATCH_CPOS;loc_cpos 3241 no existe en TBL;
3246;0;INGENIERO MIGUEL SAJAROFF (3246-0);3246-0;INGENIERO MIGUEL SAJAROFF;;SIN_EQUIVALENTE_TBL;Sin equivalente (mejor: 0.25 con VILLA DOMINGUEZ);
3246;1;VILLA DOMINGUEZ (3246-1);3246-1;VILLA DOMINGUEZ;3246-0;MATCH_EXACTO;Nombre idéntico;VILLA DOMINGUEZ (3246-0)
3248;0;SANTA ANITA (3248-0);3248-0;SANTA ANITA;3248-0;MATCH_EXACTO;Nombre idéntico;SANTA ANITA (3248-0)
3248;1;VILLA SAN MARCIAL (EST. GOBERNADOR URQUIZA) (3248-1);3248-1;VILLA SAN MARCIAL;3248-1;SINONIMO_PREFIJO;Mismo nombre base;SAN MARCIAL (3248-1)
3252;0;VILLA CLARA (3252-0);3252-0;VILLA CLARA;3252-0;MATCH_EXACTO;Nombre idéntico;VILLA CLARA (3252-0)
3254;0;JUBILEO (3254-0);3254-0;JUBILEO;3254-0;MATCH_EXACTO;Nombre idéntico;JUBILEO (3254-0)
3260;0;VILLA SAN JUSTO (3260-0);3260-0;VILLA SAN JUSTO;3260-1;MATCH_EXACTO;Nombre idéntico;VILLA SAN JUSTO (3260-1)
3260;1;CONCEPCION DEL URUGUAY (3260-1);3260-1;CONCEPCION DEL URUGUAY;3260-0;SINONIMO_PALABRA_CLAVE;Palabra clave: URUGUAY;CONCEP.DEL URUGUAY (3260-0)
3261;0;COLONIA ELIA (3261-0);3261-0;COLONIA ELIA;3261-0;MATCH_EXACTO;Nombre idéntico;COLONIA ELIA (3261-0)
